pe_02x,pe_02y,pe_02z,pe_3x,pe_3y,pe_3z,he_02x,he_02y,he_02z,he_3x,he_3y,he_3z,max_x,max_y,max_z,min_x,min_y,min_z,pianch_x,pianch_y,pianch_z,average_x,average_y,average_z,std_x,std_y,std_z,eng_x,eng_y,eng_z,class
2,3,0,0,0,0,0.0234375,0.046875,0,0,0,0,0.2167075,0.221748,0.156667,-0.296888,-0.214378,-0.244118,0.5135955,0.436126,0.400785,-0.015483617,0.024655339,-0.008052375,0.12615687,0.099488537,0.091945316,4.135996077,2.690106698,2.180873021,S
5,6,0,0,0,0,0.08984375,0.12890625,0,0,0,0,0.2495175,0.288287,0.1862135,-0.3404315,-0.2535865,-0.244118,0.589949,0.5418735,0.4303315,-0.025734521,0.023214589,-0.00965827,0.172481871,0.136983585,0.118507417,7.786201222,4.942214382,3.619239545,S
3,4,0,0,0,0,0.06640625,0.08984375,0,0,0,0,0.2495175,0.288287,0.1862135,-0.3404315,-0.2535865,-0.213752,0.589949,0.5418735,0.3999655,-0.016228745,0.022145613,-0.014772558,0.146882526,0.114887237,0.094091272,5.590752595,3.505003797,2.322495575,S
1,0,0,0,0,0,0.01953125,0,0,0,0,0,0.2135595,0.164038,0.1396825,-0.2402975,-0.1393625,-0.174603,0.453857,0.3034005,0.3142855,-0.005510971,0.026593243,-0.015473994,0.117210404,0.082160168,0.077883432,3.524804654,1.909825619,1.614389441,S
1,0,0,0,0,0,0.01953125,0,0,0,0,0,0.2135595,0.164038,0.1396825,-0.2402975,-0.1393625,-0.174603,0.453857,0.3034005,0.3142855,-0.014926446,0.021644516,-0.019635251,0.098575955,0.071431949,0.06937758,2.544867317,1.426646628,1.331276205,S
2,11,8,0,0,0,0.23046875,0.2890625,0.2734375,0,0,0,0.991069,1.010463,0.854608,-0.15435,-0.096227,-0.1156015,1.145419,1.10669,0.9702095,0.138546049,0.222303868,0.142547687,0.308545447,0.364044712,0.298976864,29.30439191,46.62799481,28.10531392,S
16,24,13,0,0,0,0.4140625,0.52734375,0.55078125,0,0,0,0.991069,1.010463,0.9445705,-0.56174,-0.4153535,-1.4668625,1.552809,1.4258165,2.411433,0.153039161,0.299195895,0.239154086,0.349614027,0.392618017,0.558207199,37.31006499,62.46829336,94.46742286,S
15,13,6,0,0,0,0.2734375,0.2421875,0.34375,0,0,0,0.4508125,0.8774655,0.9445705,-0.6657095,-0.8520645,-1.5340145,1.116522,1.72953,2.478585,-0.098542123,-0.127550741,-0.22504458,0.328204771,0.426150264,0.8018107,30.07151457,50.6718184,177.5982833,S
4,1,2,0,0,0,0.1484375,0.0234375,0.09765625,0,0,0,0.4508125,0.2191915,0.328614,-0.6657095,-0.8520645,-1.5340145,1.116522,1.071256,1.8626285,-0.118472482,-0.206584852,-0.323692471,0.291788922,0.310554265,0.586980947,25.40322086,35.65771802,115.1315794,S
2,1,1,0,0,0,0.0625,0.0625,0.00390625,0,0,0,0.2433795,0.2930415,0.203698,-0.357536,-0.2759965,-0.253812,0.6009155,0.569038,0.45751,-0.035384354,-0.010310609,-0.024149049,0.188848914,0.134627499,0.136717598,9.451739051,4.667209607,4.934952005,S
2,1,0,0,0,0,0.0625,0.0625,0,0,0,0,0.2433795,0.2930415,0.168398,-0.3469635,-0.2759965,-0.232687,0.590343,0.569038,0.401085,-0.016637263,0.018971805,-0.02000737,0.144343371,0.120953651,0.102597159,5.40489943,3.83772701,2.797577088,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1505225,0.141254,0.1216725,-0.212726,-0.203911,-0.2364485,0.3632485,0.345165,0.358121,-0.002177208,0.028652687,-0.016413601,0.100512672,0.087537759,0.094668332,2.587534345,2.172682898,2.363533257,S
11,17,16,0,0,0,0.359375,0.38671875,0.4140625,0,0,0,1.117516,1.129719,1.1167495,-0.212726,-0.203911,-0.2364485,1.330242,1.33363,1.353198,0.208166261,0.298895082,0.359909391,0.343333311,0.393062673,0.481581822,41.3133376,62.51149111,92.662225,S
12,17,16,0,0,0,0.37890625,0.38671875,0.48046875,0,0,0,1.117516,1.129719,1.1167495,-0.8570055,-0.947219,-1.986804,1.9745215,2.076938,3.1035535,0.02254392,0.129953025,-0.042163665,0.541323323,0.576734986,1.035587074,75.14653545,89.49171227,275.0016787,S
2,0,2,0,0,0,0.07421875,0,0.09375,0,0,0,0.2310895,0.1995105,0.81026,-0.8570055,-0.947219,-1.986804,1.088095,1.1467295,2.797064,-0.215149922,-0.217910465,-0.449975698,0.336510704,0.334341681,0.742429271,40.88569881,40.82043354,193.1443923,S
4,6,3,0,0,0,0.171875,0.08984375,0.08984375,0,0,0,0.3893415,0.2816695,0.2562705,-0.575249,-0.931907,-0.890635,0.9645905,1.2135765,1.1469055,-0.009952148,-0.041257323,-0.028066484,0.224666221,0.251066304,0.222290891,12.94703187,16.57423482,12.85223551,S
4,9,3,0,0,0,0.21484375,0.171875,0.1171875,0,0,0,0.3893415,0.322223,0.2562705,-0.406144,-0.269146,-0.311376,0.7954855,0.591369,0.5676465,0.005241852,0.030524395,-0.001372547,0.221920657,0.146882185,0.157724563,12.61474876,5.762497161,6.369005796,S
1,3,2,0,0,0,0.09765625,0.08203125,0.05078125,0,0,0,0.3397465,0.322223,0.2413155,-0.3142605,-0.223386,-0.233,0.654007,0.545609,0.4743155,-0.01752622,0.028936372,-0.022365086,0.173134293,0.113840764,0.122926216,7.752666002,3.532877805,3.996929416,S
0,0,0,0,0,0,0,0,0,0,0,0,0.19676,0.166714,0.141406,-0.292682,-0.1632325,-0.2105225,0.489442,0.3299465,0.3519285,-0.019336276,0.015560819,-0.024314586,0.117639259,0.079936866,0.09217125,3.638872927,1.698044793,2.326796215,S
0,0,0,0,0,0,0,0,0,0,0,0,0.184383,0.1673,0.1303205,-0.3201065,-0.2458235,-0.2697315,0.5044895,0.4131235,0.400052,-0.027054068,0.003014897,-0.026391726,0.124371851,0.098163396,0.102778069,4.148003565,2.469165443,2.883219338,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1691515,0.1673,0.127133,-0.3201065,-0.2458235,-0.2697315,0.489258,0.4131235,0.3968645,-0.02319894,0.016922076,-0.019733562,0.132448257,0.091103239,0.101644188,4.629205478,2.198342503,2.744953769,S
0,0,0,0,0,0,0,0,0,0,0,0,0.190235,0.177194,0.1508015,-0.2677465,-0.1359685,-0.195555,0.4579815,0.3131625,0.3463565,-0.018532362,0.020885897,-0.018432827,0.12405639,0.076763129,0.093127104,4.028103165,1.620608666,2.307520961,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1928005,0.177194,0.1508015,-0.282374,-0.1359685,-0.199096,0.4751745,0.3131625,0.3498975,-0.018459356,0.030236185,-0.015079125,0.14271702,0.088831021,0.102509804,5.301818061,2.255039572,2.748551215,S
3,2,0,0,0,0,0.0703125,0.01171875,0,0,0,0,0.240197,0.201141,0.166427,-0.282374,-0.1999045,-0.2243105,0.522571,0.4010455,0.3907375,-0.007691364,0.031523047,-0.009599267,0.15277642,0.101530984,0.10650783,5.990405804,2.894367968,2.927724463,S
3,2,0,0,0,0,0.0703125,0.01171875,0,0,0,0,0.240197,0.201141,0.166427,-0.281783,-0.1999045,-0.2243105,0.52198,0.4010455,0.3907375,-0.006109749,0.014965667,-0.012043089,0.14440761,0.102577074,0.099012427,5.348104369,2.751206964,2.546960184,S
5,10,6,0,0,0,0.33984375,0.38671875,0.375,0,0,0,0.9426055,1.254797,1.0782345,-0.274659,-0.1804685,-0.1804425,1.2172645,1.4352655,1.258677,0.219023167,0.293309846,0.260787305,0.338747227,0.396634706,0.38679114,41.70450413,62.38356826,55.7780656,S
5,15,9,0,0,0,0.33984375,0.4765625,0.5234375,0,0,0,0.9426055,1.254797,1.0782345,-0.9321,-1.092375,-2.260678,1.8747055,2.347172,3.3389125,0.0306948,0.119670644,-0.067707607,0.556152432,0.624197074,1.028800773,79.42435282,103.423742,272.1365142,S
5,9,4,0,0,0,0.1015625,0.22265625,0.2890625,0,0,0,0.2592655,0.396131,0.972214,-0.9321,-1.092375,-2.260678,1.1913655,1.488506,3.232892,-0.18689927,-0.166816767,-0.331419521,0.363425614,0.405469185,0.872536103,42.78936698,49.23949988,223.1263255,S
